10011900,36.14,235.1,Antillas Holandesas,Febrero,2014
10019900,37.14,236.1,Argentina,Febrero,2014
10051000,38.14,237.1,Armenia,Marzo,2014
10059010,39.14,238.1,Aruba (P.B.),Abril,2014
10059020,40.14,239.1,Australia,Mayo,2014
10059030,41.14,240.1,Austria,Junio,2014
10059090,42.14,241.1,Barbados,Junio,2014
10061010,43.14,242.1,Belgica,Agosto,2014
10063090,44.14,243.1,Belice,Septiembre,2014
10064000,45.14,244.1,Bolivia,Octubre,2014
10079000,46.14,245.1,Brasil,Enero,2014
10082900,47.14,246.1,Bulgaria,Febrero,2014
11010000,48.14,247.1,Camboya,Marzo,2014
11022000,49.14,248.1,Canada,Abril,2014
11029010,50.14,249.1,Ceilan,Mayo,2014
11029020,51.14,250.1,Chile,Junio,2014
11029030,52.14,251.1,Chipre,Julio,2014
11029090,53.14,252.1,Brasil,Agosto,2014
11031100,54.14,253.1,Brasil,Septiembre,2014
11031390,55.14,254.1,Brasil,Octubre,2014
